[DEBUG] IP deste peer: 127.0.0.1, porta: 5000
[DEBUG] Lista bruta de vizinhos: 127.0.0.1:5001
[DEBUG] Lista final de vizinhos: [('127.0.0.1', 5001)]
[DEBUG] Modo seed: True
[Seeder] Arquivo 'file_C_20M.bin' carregado: 20480 blocos, SHA256=a2103131d080150bc68356d0ef2d02993a8cec674443d04e9ecceeab732bc1d3
[Seeder] Aguardando conex�es de leechers para o arquivo 'file_C_20M.bin'...
[Seeder] Pressione Ctrl+C para encerrar
[Servidor] Ouvindo em 127.0.0.1:5000
[Servidor] Enviado bloco 7689 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8117 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18109 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 5025 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 6803 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 1147 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10837 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 6241 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13328 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 179 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17787 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 4859 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12942 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 11018 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 4218 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9873 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 6074 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 1189 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17717 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 5516 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 5723 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13667 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9965 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 4083 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 14440 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 15698 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 14374 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 7961 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 5145 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8373 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 976 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 3158 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 19305 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13274 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 755 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 229 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 11145 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 3543 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18314 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 20028 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17713 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 7267 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 15143 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13544 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8576 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2148 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 5688 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 20082 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2950 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 11796 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17556 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13880 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17724 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 7255 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 1551 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 235 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18989 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 15053 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8016 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9614 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10477 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 6469 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 3560 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 1388 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 3752 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 4680 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 3544 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 349 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18354 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2797 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8870 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9300 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17652 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10656 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 1161 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2399 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 234 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13086 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10075 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 11474 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18699 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 14916 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 6508 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13727 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 3507 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 6825 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8694 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 14263 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 3305 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 16458 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10908 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9727 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 4027 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 5184 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13648 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 3534 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 7772 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13220 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2404 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8757 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13062 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12729 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 14970 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 11456 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 16934 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 19776 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9717 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9644 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10958 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 279 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17167 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2052 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2478 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2679 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2668 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13446 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9703 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9431 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 14324 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2316 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 6048 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13534 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 19858 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18536 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 7104 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 999 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12748 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13375 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17606 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13340 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 7429 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 11961 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 4020 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13621 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 16379 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 20415 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9030 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 20331 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 6008 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10961 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17992 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8674 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8827 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8900 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17355 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12013 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12686 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 577 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12948 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8334 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 19898 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18541 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12175 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18555 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2175 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 837 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 3389 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17614 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 1529 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13298 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8380 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 586 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 674 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2569 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 4573 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10087 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 19274 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10118 (1024 B) para ('127.0.0.1', 60935)
