[DEBUG] IP deste peer: 127.0.0.1, porta: 5001
[DEBUG] Lista bruta de vizinhos: 127.0.0.1:5000
[DEBUG] Lista final de vizinhos: [('127.0.0.1', 5000)]
[DEBUG] Modo seed: False
[Servidor] Ouvindo em 127.0.0.1:5001
[Cliente] Conectado a 127.0.0.1:5000
[Cliente] Bloco 6008 recebido de 127.0.0.1:5000 (258/20480)
[Cliente] Bloco 10961 recebido de 127.0.0.1:5000 (259/20480)
[Cliente] Bloco 17992 recebido de 127.0.0.1:5000 (260/20480)
[Cliente] Bloco 8674 recebido de 127.0.0.1:5000 (261/20480)
[Cliente] Bloco 8827 recebido de 127.0.0.1:5000 (262/20480)
[Cliente] Bloco 8900 recebido de 127.0.0.1:5000 (263/20480)
[Cliente] Bloco 17355 recebido de 127.0.0.1:5000 (264/20480)
[Cliente] Bloco 12013 recebido de 127.0.0.1:5000 (265/20480)
[Cliente] Bloco 12686 recebido de 127.0.0.1:5000 (266/20480)
[Cliente] Bloco 577 recebido de 127.0.0.1:5000 (267/20480)
[Cliente] Bloco 12948 recebido de 127.0.0.1:5000 (268/20480)
[Cliente] Bloco 8334 recebido de 127.0.0.1:5000 (269/20480)
[Cliente] Bloco 19898 recebido de 127.0.0.1:5000 (270/20480)
[Cliente] Bloco 18541 recebido de 127.0.0.1:5000 (271/20480)
[Cliente] Bloco 12175 recebido de 127.0.0.1:5000 (272/20480)
[Cliente] Bloco 18555 recebido de 127.0.0.1:5000 (273/20480)
[Cliente] Bloco 2175 recebido de 127.0.0.1:5000 (274/20480)
[Cliente] Bloco 837 recebido de 127.0.0.1:5000 (275/20480)
[Cliente] Bloco 3389 recebido de 127.0.0.1:5000 (276/20480)
[Cliente] Bloco 17614 recebido de 127.0.0.1:5000 (277/20480)
[Cliente] Bloco 1529 recebido de 127.0.0.1:5000 (278/20480)
[Cliente] Bloco 13298 recebido de 127.0.0.1:5000 (279/20480)
[Cliente] Bloco 8380 recebido de 127.0.0.1:5000 (280/20480)
[Cliente] Bloco 586 recebido de 127.0.0.1:5000 (281/20480)
[Cliente] Bloco 674 recebido de 127.0.0.1:5000 (282/20480)
[Cliente] Bloco 2569 recebido de 127.0.0.1:5000 (283/20480)
[Cliente] Bloco 4573 recebido de 127.0.0.1:5000 (284/20480)
[Cliente] Bloco 10087 recebido de 127.0.0.1:5000 (285/20480)
[Cliente] Bloco 19274 recebido de 127.0.0.1:5000 (286/20480)
[Cliente] Bloco 10118 recebido de 127.0.0.1:5000 (287/20480)
[Cliente] Bloco 1925 recebido de 127.0.0.1:5000 (288/20480)
[Cliente] Bloco 17155 recebido de 127.0.0.1:5000 (289/20480)
[Cliente] Bloco 10811 recebido de 127.0.0.1:5000 (290/20480)
[Cliente] Bloco 13654 recebido de 127.0.0.1:5000 (291/20480)
[Cliente] Bloco 202 recebido de 127.0.0.1:5000 (292/20480)
[Cliente] Bloco 13953 recebido de 127.0.0.1:5000 (293/20480)
[Cliente] Bloco 8676 recebido de 127.0.0.1:5000 (294/20480)
[Cliente] Bloco 13003 recebido de 127.0.0.1:5000 (295/20480)
[Cliente] Bloco 7965 recebido de 127.0.0.1:5000 (296/20480)
[Cliente] Bloco 12435 recebido de 127.0.0.1:5000 (297/20480)
[Cliente] Bloco 14402 recebido de 127.0.0.1:5000 (298/20480)
[Cliente] Bloco 3068 recebido de 127.0.0.1:5000 (299/20480)
[Cliente] Bloco 513 recebido de 127.0.0.1:5000 (300/20480)
[Cliente] Bloco 14392 recebido de 127.0.0.1:5000 (301/20480)
[Cliente] Bloco 3842 recebido de 127.0.0.1:5000 (302/20480)
[Cliente] Bloco 7040 recebido de 127.0.0.1:5000 (303/20480)
[Cliente] Bloco 18982 recebido de 127.0.0.1:5000 (304/20480)
[Cliente] Bloco 5513 recebido de 127.0.0.1:5000 (305/20480)
[Cliente] Bloco 17914 recebido de 127.0.0.1:5000 (306/20480)
[Cliente] Bloco 18426 recebido de 127.0.0.1:5000 (307/20480)
[Cliente] Bloco 20071 recebido de 127.0.0.1:5000 (308/20480)
[Cliente] Bloco 19050 recebido de 127.0.0.1:5000 (309/20480)
[Cliente] Bloco 14906 recebido de 127.0.0.1:5000 (310/20480)
[Cliente] Bloco 12676 recebido de 127.0.0.1:5000 (311/20480)
[Cliente] Bloco 15335 recebido de 127.0.0.1:5000 (312/20480)
[Cliente] Bloco 13929 recebido de 127.0.0.1:5000 (313/20480)
[Cliente] Bloco 12935 recebido de 127.0.0.1:5000 (314/20480)
[Cliente] Bloco 10978 recebido de 127.0.0.1:5000 (315/20480)
[Cliente] Bloco 10343 recebido de 127.0.0.1:5000 (316/20480)
[Cliente] Bloco 20442 recebido de 127.0.0.1:5000 (317/20480)
[Cliente] Bloco 17054 recebido de 127.0.0.1:5000 (318/20480)
[Cliente] Bloco 9388 recebido de 127.0.0.1:5000 (319/20480)
[Cliente] Bloco 2538 recebido de 127.0.0.1:5000 (320/20480)
[Cliente] Bloco 8280 recebido de 127.0.0.1:5000 (321/20480)
